,chr,x1,x2
275,3,192960000,193420000
276,3,0,220000
277,3,76380000,76650000
278,3,92460000,92730000
279,3,297480000,297770000
280,3,315570000,316000000
281,3,122610000,122840000
282,3,363810000,364000000
283,3,347730000,348000000
284,3,0,170000
285,3,188940000,189120000
286,3,203010000,203360000
287,3,176880000,177130000
288,3,182910000,183250000
289,3,217080000,217360000
290,3,140700000,141090000
291,3,116580000,116810000
292,3,239190000,239570000
293,3,186930000,187340000
294,3,146730000,147300000
295,3,0,240000
296,3,78390000,78500000
297,3,341700000,341820000
298,3,321600000,321690000
299,3,108540000,108800000
300,3,353760000,354000000
301,3,289440000,289750000
302,3,307530000,308000000
303,3,0,360000
304,3,186930000,187290000
305,3,251250000,251640000
306,3,327630000,328000000
307,3,146730000,147120000
308,3,227130000,227430000
309,3,257280000,257690000
310,3,341700000,342000000
311,3,0,270000
312,3,108540000,108890000
313,3,98490000,98720000
314,3,345720000,346000000
315,3,114570000,114950000
316,3,192960000,193390000
317,3,227130000,227250000
318,3,0,440000
319,3,198990000,199430000
320,3,94470000,94630000
321,3,357780000,358000000
322,3,367830000,368000000
323,3,80400000,80740000
324,3,247230000,247480000
325,3,229140000,229540000
326,3,357780000,358000000
327,3,345720000,346000000
328,3,62310000,62640000
329,3,190950000,191280000
330,3,0,230000
331,3,351750000,352000000
332,3,243210000,243550000
333,3,0,250000
334,3,0,180000
335,3,291450000,291680000
336,3,0,240000
337,3,265320000,265530000
338,3,0,230000
339,3,331650000,332000000
340,3,317580000,318000000
341,3,337680000,338000000
342,3,114570000,114830000
343,3,261300000,261550000
344,3,0,510000
345,3,221100000,221430000
346,3,144720000,145080000
347,3,0,310000
348,3,164820000,165140000
349,3,209040000,209340000
350,3,271350000,271690000
351,3,0,250000
352,3,52260000,52540000
353,3,136680000,136960000
354,3,335670000,336000000
355,3,178890000,179120000
356,3,106530000,106770000
357,3,347730000,348000000
358,3,0,240000
359,3,140700000,140920000
360,4,136680000,137000000
361,4,203010000,203340000
362,4,0,200000
363,4,198990000,199390000
364,4,219090000,219360000
365,4,0,430000
366,4,219090000,219420000
367,4,319590000,320000000
368,4,132660000,133000000
369,4,0,280000
370,4,134670000,135180000
371,4,357780000,358000000
372,4,203010000,203370000
373,4,196980000,197380000
374,4,0,440000
375,4,219090000,219430000
376,4,136680000,137350000
377,4,0,230000
378,4,188940000,189180000
379,4,80400000,80700000
380,4,237180000,237450000
381,4,146730000,146900000
382,4,108540000,108960000
383,4,289440000,290000000
384,4,275370000,276000000
385,4,112560000,112970000
386,4,375870000,376000000
387,4,152760000,153120000
388,4,345720000,346000000
389,4,0,310000
390,4,0,290000
391,4,118590000,118900000
392,4,0,300000
393,4,315570000,316000000
394,4,54270000,54580000
395,4,114570000,114800000
396,4,104520000,104750000
397,4,387930000,388000000
398,4,0,530000
399,4,108540000,109020000
400,4,158790000,159050000
401,4,213060000,213330000
402,4,375870000,376000000
403,4,156780000,157260000
404,4,239190000,239350000
405,4,0,560000
406,4,365820000,366000000
407,4,154770000,155130000
408,4,229140000,229430000
409,4,211050000,211340000
410,4,241200000,241520000
411,4,321600000,322000000
412,4,213060000,213380000
413,4,0,450000
414,4,88440000,88870000
415,4,359790000,360000000
416,4,80400000,80630000
417,4,108540000,108960000
418,4,0,320000
419,4,196980000,197210000
420,4,0,290000
421,4,160800000,161220000
422,4,241200000,241500000
423,4,0,460000
424,4,231150000,231510000
425,4,0,630000
426,4,0,210000
427,4,94470000,94700000
428,4,219090000,219340000
429,4,0,260000
430,4,233160000,233580000
431,4,158790000,159130000
432,4,219090000,219480000
433,4,0,320000
434,4,66330000,66630000
435,4,351750000,352000000
436,4,0,470000
437,4,110550000,110870000
438,4,104520000,104850000
439,4,359790000,360000000
440,4,341700000,342000000
441,4,0,570000
442,4,0,310000
443,4,180900000,181150000
444,4,0,380000
