,chr,x1,x2
276,3,385920000,386000000
277,3,148740000,149360000
278,3,379890000,380000000
279,3,217080000,217440000
280,3,387930000,388000000
281,3,0,260000
282,3,215070000,215540000
283,3,192960000,193440000
284,3,0,210000
285,3,0,370000
286,3,76380000,76690000
287,3,98490000,98740000
288,3,229140000,229380000
289,3,92460000,92870000
290,3,0,150000
291,3,259290000,259520000
292,3,363810000,364000000
293,3,353760000,354000000
294,3,0,170000
295,3,343710000,344000000
296,3,176880000,177130000
297,3,339690000,339720000
298,3,203010000,203370000
299,3,140700000,141090000
300,3,0,440000
301,3,158790000,159070000
302,3,194970000,195330000
303,3,150750000,151290000
304,3,0,240000
305,3,46230000,46320000
306,3,341700000,341800000
307,3,233160000,233430000
308,3,353760000,354000000
309,3,287430000,287750000
310,3,0,300000
311,3,0,460000
312,3,94470000,94920000
313,3,0,330000
314,3,219090000,219380000
315,3,0,350000
316,3,367830000,368000000
317,3,0,270000
318,3,148740000,149010000
319,3,108540000,108920000
320,3,98490000,98690000
321,3,341700000,342000000
322,3,309540000,310000000
323,3,114570000,114960000
324,3,0,520000
325,3,201000000,201280000
326,3,343710000,344000000
327,3,94470000,94630000
328,3,359790000,360000000
329,3,66330000,66660000
330,3,82410000,82740000
331,3,351750000,352000000
332,3,0,210000
333,3,94470000,94740000
334,3,213060000,213280000
335,3,190950000,191280000
336,3,0,270000
337,3,94470000,94960000
338,3,0,350000
339,3,134670000,135050000
340,3,0,250000
341,3,0,170000
342,3,213060000,213450000
343,3,0,240000
344,3,265320000,265530000
345,3,0,270000
346,3,315570000,316000000
347,3,116580000,116860000
348,3,263310000,263550000
349,3,219090000,219280000
350,3,168840000,169140000
351,3,235170000,235500000
352,3,0,100000
353,3,0,310000
354,3,164820000,165170000
355,3,323610000,324000000
356,3,54270000,54520000
357,3,275370000,275650000
358,3,0,250000
359,3,52260000,52540000
360,3,335670000,336000000
361,3,106530000,106760000
362,3,347730000,348000000
363,3,198990000,199260000
364,3,0,240000
365,3,190950000,191240000
366,3,140700000,140940000
367,4,94470000,94660000
368,4,94470000,94930000
369,4,365820000,366000000
370,4,351750000,352000000
371,4,339690000,340000000
372,4,285420000,285750000
373,4,134670000,134820000
374,4,245220000,245470000
375,4,0,270000
376,4,130650000,131210000
377,4,299490000,299770000
378,4,357780000,358000000
379,4,80400000,80700000
380,4,198990000,199400000
381,4,0,410000
382,4,0,210000
383,4,211050000,211350000
384,4,142710000,143060000
385,4,0,400000
386,4,0,420000
387,4,0,400000
388,4,239190000,239450000
389,4,0,320000
390,4,182910000,183250000
391,4,108540000,108980000
392,4,136680000,136920000
393,4,0,290000
394,4,373860000,374000000
395,4,369840000,370000000
396,4,0,200000
397,4,355770000,356000000
398,4,0,300000
399,4,335670000,336000000
400,4,0,540000
401,4,213060000,213490000
402,4,196980000,197460000
403,4,313560000,314000000
404,4,110550000,110770000
405,4,60300000,60540000
406,4,106530000,106750000
407,4,387930000,388000000
408,4,104520000,105020000
409,4,162810000,163060000
410,4,164820000,165260000
411,4,243210000,243350000
412,4,80400000,80560000
413,4,367830000,368000000
414,4,229140000,229430000
415,4,168840000,169220000
416,4,207030000,207320000
417,4,245220000,245530000
418,4,194970000,195290000
419,4,207030000,207350000
420,4,86430000,86860000
421,4,241200000,241350000
422,4,359790000,360000000
423,4,80400000,80620000
424,4,132660000,132920000
425,4,0,330000
426,4,196980000,197230000
427,4,249240000,249540000
428,4,261300000,261640000
429,4,160800000,161090000
430,4,241200000,241590000
431,4,317580000,318000000
432,4,0,210000
433,4,301500000,302000000
434,4,209040000,209240000
435,4,0,210000
436,4,102510000,102690000
437,4,0,250000
438,4,235170000,235560000
439,4,82410000,82790000
440,4,363810000,364000000
441,4,146730000,147100000
442,4,223110000,223480000
443,4,357780000,358000000
444,4,0,470000
445,4,0,530000
446,4,106530000,106810000
447,4,359790000,360000000
448,4,351750000,352000000
449,4,249240000,249460000
450,4,144720000,144870000
451,4,180900000,181150000
452,4,0,370000
453,4,215070000,215390000
454,4,335670000,336000000
455,4,0,400000
456,4,365820000,366000000
457,4,0,480000
458,4,351750000,352000000
459,4,211050000,211250000
460,4,327630000,328000000
461,4,257280000,257620000
462,4,317580000,318000000
463,4,349740000,350000000
464,4,0,350000
465,4,237180000,237560000
466,4,106530000,106960000
467,4,265320000,265410000
468,4,108540000,108700000
469,4,196980000,197040000
470,5,132660000,132900000
471,5,182910000,183170000
472,5,321600000,322000000
473,5,0,290000
474,5,243210000,243540000
475,5,88440000,88760000
476,5,239190000,239470000
477,5,0,340000
478,5,134670000,135020000
479,5,156780000,157190000
480,5,0,340000
481,5,363810000,364000000
482,5,80400000,80790000
483,5,319590000,320000000
484,5,0,300000
485,5,247230000,247540000
486,5,287430000,288000000
487,5,186930000,187050000
488,5,82410000,82690000
489,5,142710000,143000000
490,5,273360000,273570000
491,5,164820000,164960000
492,5,138690000,138880000
493,5,180900000,181110000
494,5,96480000,96800000
495,5,24120000,24250000
496,5,0,240000
497,5,363810000,364000000
498,5,201000000,201220000
499,5,355770000,356000000
500,5,96480000,96670000
501,5,305520000,305700000
502,5,78390000,78690000
503,5,158790000,159000000
504,5,223110000,223550000
505,5,313560000,314000000
506,5,0,310000
507,5,323610000,324000000
508,5,0,210000
509,5,265320000,265580000
510,5,277380000,277610000
511,5,100500000,100710000
512,5,154770000,155000000
513,5,150750000,151070000
514,5,64320000,64700000
515,5,0,80000
516,5,0,230000
517,5,337680000,338000000
518,5,339690000,340000000
519,5,86430000,86530000
520,5,148740000,149010000
521,5,102510000,102890000
522,5,100500000,100780000
523,5,120600000,121010000
524,5,164820000,165230000
525,5,96480000,96850000
526,5,363810000,364000000
527,5,126630000,126950000
528,5,0,340000
529,5,361800000,362000000
530,5,259290000,259510000
531,5,138690000,138960000
532,5,335670000,336000000
533,5,309540000,310000000
534,5,221100000,221430000
535,5,92460000,92750000
536,5,261300000,261500000
537,5,0,230000
538,5,130650000,130950000
539,5,231150000,231540000
540,5,0,100000
541,5,0,290000
542,5,213060000,213440000
543,5,194970000,195220000
544,5,247230000,247500000
545,5,367830000,368000000
546,5,178890000,179180000
547,5,106530000,106850000
548,5,0,310000
549,5,64320000,64510000
550,5,114570000,114740000
551,5,371850000,372000000
552,5,188940000,189260000
553,5,172860000,172930000
554,5,124620000,125060000
555,5,201000000,201480000
556,5,0,390000
557,5,381900000,382000000
558,5,369840000,370000000
559,5,359790000,360000000
560,5,108540000,108720000
561,5,269340000,269510000
562,5,0,190000
563,6,289440000,289590000
564,6,213060000,213260000
565,6,349740000,350000000
566,6,0,290000
567,6,253260000,253610000
568,6,98490000,98960000
569,6,219090000,219490000
570,6,58290000,58600000
571,6,267330000,267610000
572,6,301500000,301660000
573,6,154770000,155110000
574,6,371850000,372000000
575,6,108540000,108860000
576,6,96480000,96900000
577,6,156780000,157070000
578,6,0,320000
579,6,66330000,66590000
580,6,367830000,367850000
581,6,36180000,36210000
582,6,263310000,263330000
583,6,309540000,309730000
584,6,190950000,191210000
585,6,245220000,245460000
586,6,335670000,336000000
587,6,128640000,128920000
588,6,162810000,163030000
589,6,209040000,209290000
590,6,351750000,352000000
591,6,172860000,173140000
592,6,88440000,88600000
593,6,205020000,205280000
594,6,281400000,282000000
595,6,118590000,118760000
596,6,271350000,271580000
597,6,190950000,191110000
598,6,369840000,370000000
599,6,0,160000
600,6,96480000,96720000
601,6,0,80000
602,6,120600000,120760000
603,6,377880000,377900000
604,6,313560000,314000000
605,6,0,540000
606,6,144720000,145210000
607,6,190950000,191270000
608,6,347730000,348000000
609,6,0,220000
610,6,319590000,320000000
611,6,0,620000
612,6,0,160000
613,6,116580000,116820000
614,6,263310000,263750000
615,6,0,240000
616,6,190950000,191120000
617,6,349740000,350000000
618,6,335670000,336000000
619,6,0,340000
620,6,223110000,223510000
621,6,367830000,368000000
622,6,126630000,126960000
623,6,345720000,346000000
624,6,110550000,111160000
625,6,0,450000
626,6,194970000,195220000
627,6,154770000,155310000
628,6,0,380000
629,6,267330000,267570000
630,6,78390000,78640000
631,6,0,280000
632,6,331650000,332000000
633,6,176880000,177130000
634,6,120600000,120870000
635,6,349740000,350000000
636,6,0,350000
637,6,339690000,340000000
638,6,327630000,328000000
639,6,237180000,237620000
640,6,0,300000
641,6,76380000,76690000
642,6,136680000,137080000
643,6,237180000,237470000
644,6,377880000,378000000
645,6,355770000,356000000
646,6,110550000,110870000
647,6,86430000,86730000
648,6,130650000,131240000
649,6,158790000,159000000
650,6,203010000,203260000
651,6,0,280000
652,6,371850000,372000000
653,6,205020000,205290000
654,6,198990000,199170000
655,6,347730000,348000000
656,6,285420000,285570000
657,6,361800000,362000000
658,6,369840000,370000000
659,6,269340000,269670000
660,6,112560000,112860000
661,6,170850000,171180000
662,6,8040000,8530000
663,6,122610000,122830000
664,7,164820000,165200000
665,7,0,390000
666,7,126630000,126820000
667,7,4020000,4520000
668,7,323610000,324000000
669,7,0,410000
670,7,192960000,193400000
671,7,136680000,137290000
672,7,150750000,151320000
673,7,138690000,138950000
674,7,78390000,78700000
675,7,349740000,350000000
676,7,130650000,130800000
677,7,225120000,225580000
678,7,381900000,382000000
679,7,80400000,80710000
680,7,0,320000
681,7,357780000,358000000
682,7,106530000,106720000
683,7,335670000,336000000
684,7,0,500000
685,7,319590000,320000000
686,7,0,170000
687,7,146730000,146940000
688,7,122610000,123170000
689,7,0,390000
690,7,247230000,247490000
