Filename,Balanced accuracy,Jaccard index,Average match for our communities,Average match for arrowhead
GSE226216_HMEC_Res10_20_40_100_500kb,0.4982,0.0352,0.14246313461285748,0.03465270531999266
GSE226216_Huh1_Inter_Intra_Res10_20_40_100_500kb,0.4987,0.0375,0.10710274295095695,0.04005569943021708
GSE226216_SNU449_Inter_Intra_Res10_20_40_100_500kb,0.4988,0.0391,0.11061192731669447,0.042512549879933546
